TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,Cluster,TransactionType,Location,Channel,CustomerOccupation
14.089999999999975,70.0,81.0,1.0,5112.21,1,Debit,San Diego,ATM,Doctor
376.24,68.0,141.0,1.0,13758.91,1,Debit,Houston,ATM,Doctor
126.28999999999999,19.0,56.0,1.0,1122.35,0,Debit,Mesa,Online,Student
184.5,26.0,25.0,1.0,8569.06,0,Debit,Raleigh,Online,Student
13.449999999999989,26.0,198.0,1.0,7429.4,0,Credit,Atlanta,Online,Student
92.15,18.0,172.0,1.0,781.6800000000003,0,Debit,Oklahoma City,ATM,Student
7.079999999999984,37.0,139.0,1.0,13316.71,1,Credit,Seattle,ATM,Doctor
171.42,67.0,291.0,1.0,2796.24,1,Credit,Indianapolis,Branch,Retired
106.23000000000002,51.0,86.0,1.0,9095.14,1,Credit,Detroit,Branch,Engineer
815.96,55.0,120.0,1.0,1021.8799999999997,1,Debit,Nashville,ATM,Doctor
17.78000000000003,52.0,59.0,1.0,7599.52,1,Credit,Albuquerque,Online,Engineer
190.02000000000004,21.0,173.0,1.0,1528.81,0,Debit,Memphis,Online,Student
494.52,24.0,111.0,1.0,1620.02,0,Credit,Mesa,Branch,Student
781.76,26.0,123.0,1.0,189.6899999999996,0,Debit,Memphis,ATM,Student
166.99,18.0,134.0,1.0,299.9300000000003,0,Debit,Louisville,Online,Student
465.45,36.0,129.0,1.0,3465.54,0,Debit,Denver,ATM,Engineer
555.8,19.0,158.0,1.0,1131.2600000000002,0,Credit,Austin,Branch,Student
492.93,39.0,234.0,1.0,5109.97,1,Debit,Columbus,Online,Engineer
18.680000000000007,59.0,106.0,1.0,7948.37,1,Credit,Albuquerque,Branch,Retired
71.47999999999999,18.0,169.0,1.0,6568.59,0,Credit,Columbus,Online,Student
59.31999999999999,71.0,38.0,1.0,5750.89,1,Debit,Los Angeles,Branch,Retired
85.76999999999998,38.0,93.0,1.0,9146.19,1,Debit,Las Vegas,Branch,Doctor
52.19999999999999,39.0,120.0,1.0,8974.93,1,Debit,Atlanta,Online,Engineer
345.84,22.0,142.0,3.0,1402.5,2,Debit,Fort Worth,Online,Student
145.54,21.0,96.0,1.0,1930.96,0,Debit,Raleigh,Online,Student
7.490000000000009,65.0,276.0,1.0,3634.67,1,Credit,Houston,Online,Retired
246.93,23.0,158.0,5.0,673.3500000000004,2,Debit,Miami,ATM,Student
40.31999999999999,37.0,95.0,1.0,2686.52,0,Debit,Milwaukee,Branch,Engineer
127.44999999999999,44.0,197.0,1.0,1772.06,0,Debit,Las Vegas,Online,Doctor
56.170000000000016,27.0,283.0,1.0,1351.69,0,Debit,Detroit,Branch,Student
28.310000000000002,59.0,20.0,1.0,8334.47,1,Credit,Miami,Online,Doctor
59.120000000000005,29.0,257.0,1.0,9823.64,1,Debit,Baltimore,ATM,Doctor
396.45,49.0,168.0,3.0,9690.15,2,Debit,New York,ATM,Engineer
877.81,22.0,150.0,1.0,399.0,0,Debit,Los Angeles,Online,Student
255.26,45.0,50.0,1.0,14815.87,1,Credit,San Francisco,Branch,Doctor
